 NST=     1

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
  1   2.504E+05   4.394E+04   0.000E+00   3.418E+05   9.006E+04   3.197E+05   0.000E+00   3.418E+05
  2   2.504E+05   4.394E+04   1.339E+00   3.418E+05   9.006E+04   3.197E+05   1.339E+00   3.418E+05
  3   2.504E+05   4.394E+04   2.987E+00   3.418E+05   9.006E+04   3.197E+05   2.987E+00   3.418E+05
  4   2.504E+05   4.394E+04   5.004E+00   3.418E+05   9.006E+04   3.197E+05   5.004E+00   3.418E+05
  5   2.504E+05   4.394E+04   7.454E+00   3.418E+05   9.006E+04   3.197E+05   7.454E+00   3.418E+05
  6   2.504E+05   4.394E+04   1.040E+01   3.418E+05   9.006E+04   3.197E+05   1.040E+01   3.418E+05
  7   2.504E+05   4.394E+04   1.391E+01   3.418E+05   9.006E+04   3.197E+05   1.391E+01   3.418E+05
  8   2.504E+05   4.394E+04   1.804E+01   3.418E+05   9.006E+04   3.197E+05   1.804E+01   3.418E+05
  9   2.504E+05   4.394E+04   2.283E+01   3.418E+05   9.006E+04   3.197E+05   2.283E+01   3.418E+05
 10   2.504E+05   4.394E+04   2.828E+01   3.418E+05   9.006E+04   3.197E+05   2.828E+01   3.418E+05
 11   2.504E+05   4.394E+04   3.436E+01   3.418E+05   9.006E+04   3.197E+05   3.436E+01   3.418E+05
 12   2.504E+05   4.394E+04   4.099E+01   3.418E+05   9.006E+04   3.197E+05   4.099E+01   3.418E+05
 13   2.504E+05   4.394E+04   4.800E+01   3.418E+05   9.006E+04   3.197E+05   4.800E+01   3.418E+05
 14   2.504E+05   4.394E+04   5.519E+01   3.418E+05   9.006E+04   3.197E+05   5.519E+01   3.418E+05
 15   2.504E+05   4.394E+04   6.229E+01   3.417E+05   9.006E+04   3.197E+05   6.229E+01   3.417E+05
 16   2.504E+05   4.394E+04   6.902E+01   3.417E+05   9.006E+04   3.197E+05   6.902E+01   3.417E+05
 17   2.504E+05   4.394E+04   7.515E+01   3.417E+05   9.006E+04   3.197E+05   7.515E+01   3.417E+05
 18   2.504E+05   4.394E+04   8.051E+01   3.417E+05   9.006E+04   3.197E+05   8.051E+01   3.417E+05
 19   2.504E+05   4.394E+04   8.510E+01   3.417E+05   9.006E+04   3.197E+05   8.510E+01   3.417E+05
 20   2.504E+05   4.394E+04   8.903E+01   3.417E+05   9.006E+04   3.197E+05   8.903E+01   3.417E+05
 21   2.504E+05   4.394E+04   9.252E+01   3.417E+05   9.006E+04   3.197E+05   9.252E+01   3.417E+05
 22   2.504E+05   4.394E+04   9.587E+01   3.417E+05   9.006E+04   3.197E+05   9.587E+01   3.417E+05
 23   2.504E+05   4.394E+04   9.938E+01   3.417E+05   9.006E+04   3.197E+05   9.938E+01   3.417E+05
 24   2.504E+05   4.394E+04   1.033E+02   3.417E+05   9.006E+04   3.197E+05   1.033E+02   3.417E+05
 25   2.504E+05   4.394E+04   1.079E+02   3.417E+05   9.006E+04   3.197E+05   1.079E+02   3.417E+05
 26   2.504E+05   4.394E+04   1.135E+02   3.417E+05   9.006E+04   3.197E+05   1.135E+02   3.417E+05
 27   2.504E+05   4.393E+04   1.201E+02   3.417E+05   9.006E+04   3.197E+05   1.201E+02   3.417E+05
 28   2.504E+05   4.393E+04   1.282E+02   3.417E+05   9.006E+04   3.197E+05   1.282E+02   3.417E+05
 29   2.504E+05   4.393E+04   1.380E+02   3.417E+05   9.006E+04   3.197E+05   1.380E+02   3.417E+05
 30   2.504E+05   4.393E+04   1.499E+02   3.417E+05   9.006E+04   3.197E+05   1.499E+02   3.417E+05
 31   2.504E+05   4.393E+04   1.642E+02   3.417E+05   9.006E+04   3.197E+05   1.642E+02   3.417E+05
 32   2.504E+05   4.393E+04   1.815E+02   3.417E+05   9.006E+04   3.197E+05   1.815E+02   3.417E+05
 33   2.504E+05   4.393E+04   2.022E+02   3.417E+05   9.006E+04   3.197E+05   2.022E+02   3.417E+05
 34   2.504E+05   4.392E+04   2.268E+02   3.417E+05   9.006E+04   3.197E+05   2.268E+02   3.417E+05
 35   2.504E+05   4.392E+04   2.557E+02   3.417E+05   9.006E+04   3.197E+05   2.557E+02   3.417E+05
 36   2.504E+05   4.392E+04   2.891E+02   3.416E+05   9.006E+04   3.197E+05   2.891E+02   3.417E+05
 37   2.504E+05   4.391E+04   3.273E+02   3.416E+05   9.006E+04   3.197E+05   3.273E+02   3.416E+05
 38   2.504E+05   4.391E+04   3.700E+02   3.416E+05   9.006E+04   3.197E+05   3.700E+02   3.416E+05
 39   2.504E+05   4.390E+04   4.174E+02   3.416E+05   9.006E+04   3.197E+05   4.174E+02   3.416E+05
 40   2.504E+05   4.390E+04   4.698E+02   3.415E+05   9.006E+04   3.197E+05   4.698E+02   3.416E+05
 41   2.504E+05   4.389E+04   5.282E+02   3.415E+05   9.006E+04   3.197E+05   5.282E+02   3.415E+05
 42   2.504E+05   4.388E+04   5.938E+02   3.415E+05   9.006E+04   3.197E+05   5.938E+02   3.415E+05
 43   2.504E+05   4.387E+04   6.679E+02   3.414E+05   9.006E+04   3.197E+05   6.679E+02   3.415E+05
 44   2.504E+05   4.386E+04   7.517E+02   3.414E+05   9.006E+04   3.197E+05   7.517E+02   3.414E+05
 45   2.504E+05   4.385E+04   8.466E+02   3.413E+05   9.006E+04   3.197E+05   8.466E+02   3.414E+05
 46   2.504E+05   4.383E+04   9.548E+02   3.412E+05   9.006E+04   3.197E+05   9.548E+02   3.413E+05
 47   2.504E+05   4.382E+04   1.080E+03   3.412E+05   9.006E+04   3.196E+05   1.080E+03   3.412E+05
 48   2.504E+05   4.379E+04   1.225E+03   3.411E+05   9.006E+04   3.196E+05   1.225E+03   3.412E+05
