     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
 4.1579E+01   1.1249E-06  2.1199E+02    3.2925E-06    0.0000E+00    1.8228E+02   -2.7935E+02    3.8037E+00    3.6000E-04
 4.0847E+01   1.4223E-06  2.0695E+02    3.2925E-06    0.0000E+00    1.4890E+02   -2.7637E+02    2.6610E+00    3.6000E-04
 4.0140E+01   1.7952E-06  2.0156E+02    3.2925E-06    0.0000E+00    1.1980E+02   -2.8501E+02    1.7801E+00    3.6000E-04
 3.9456E+01   2.2617E-06  1.9667E+02    3.2925E-06    0.0000E+00    9.4816E+01   -1.2405E+02    1.2131E+00    3.6000E-04
 3.8792E+01   2.8444E-06  1.9236E+02    3.2925E-06    0.0000E+00    7.3653E+01   -9.2319E+01    8.5038E-01    3.6000E-04
 3.8149E+01   3.5708E-06  1.8841E+02    3.2925E-06    0.0000E+00    5.5752E+01   -8.7786E+01    6.0530E-01    3.6000E-04
 3.7522E+01   4.4748E-06  1.8483E+02    3.2925E-06    0.0000E+00    4.0667E+01   -4.8570E+01    4.3897E-01    3.6000E-04
 3.6913E+01   5.5977E-06  1.8143E+02    3.2925E-06    0.0000E+00    2.8340E+01   -3.0473E+01    3.1986E-01    3.6000E-04
 3.6319E+01   6.9900E-06  1.7836E+02    3.2925E-06    0.0000E+00    1.8791E+01   -3.0120E+01    2.3765E-01    3.6000E-04
 3.5739E+01   8.7130E-06  1.7588E+02    3.2925E-06    0.0000E+00    1.1878E+01   -2.2083E+01    1.8553E-01    3.6000E-04
 3.5171E+01   1.0841E-05  1.7405E+02    3.2925E-06    0.0000E+00    7.2590E+00   -1.6887E+01    1.5386E-01    3.6000E-04
 3.4613E+01   1.3466E-05  1.7283E+02    3.2925E-06    0.0000E+00    4.4504E+00   -1.2797E+01    1.3549E-01    3.6000E-04
 3.4062E+01   1.6696E-05  1.7215E+02    3.2925E-06    0.0000E+00    2.9188E+00   -9.6126E+00    1.2616E-01    3.6000E-04
 3.3518E+01   2.0664E-05  1.7193E+02    3.2925E-06    0.0000E+00    2.1805E+00   -7.4887E+00    1.2322E-01    3.6000E-04
 3.2978E+01   2.5529E-05  1.7207E+02    3.2925E-06    0.0000E+00    1.8621E+00   -5.8636E+00    1.2508E-01    3.6000E-04
 3.2442E+01   3.1484E-05  1.7249E+02    3.2925E-06    0.0000E+00    1.7259E+00   -4.6692E+00    1.3077E-01    3.6000E-04
 3.1908E+01   3.8759E-05  1.7311E+02    3.2925E-06    0.0000E+00    1.6499E+00   -3.7826E+00    1.3966E-01    3.6000E-04
 3.1378E+01   4.7630E-05  1.7389E+02    3.2925E-06    0.0000E+00    1.5862E+00   -3.1378E+00    1.5133E-01    3.6000E-04
 3.0850E+01   5.8427E-05  1.7476E+02    3.2925E-06    0.0000E+00    1.5209E+00   -2.6336E+00    1.6552E-01    3.6000E-04
 3.0323E+01   7.1545E-05  1.7568E+02    3.2925E-06    0.0000E+00    1.4519E+00   -2.2634E+00    1.8196E-01    3.6000E-04
 2.9799E+01   8.7452E-05  1.7664E+02    3.2925E-06    0.0000E+00    1.3801E+00   -1.9827E+00    2.0042E-01    3.6000E-04
 2.9276E+01   1.0671E-04  1.7760E+02    3.2925E-06    0.0000E+00    1.3100E+00   -1.7770E+00    2.2063E-01    3.6000E-04
