  i  Z(km)      P(bar)      T(K)  
  1 4.3885E+06 1.0000E+00 2.0000E+02
  2 4.3196E+06 1.2655E+00 2.0000E+02
  3 4.2512E+06 1.5986E+00 2.0000E+02
  4 4.1833E+06 2.0159E+00 2.0000E+02
  5 4.1159E+06 2.5375E+00 2.0000E+02
  6 4.0491E+06 3.1884E+00 2.0000E+02
  7 3.9828E+06 3.9991E+00 2.0000E+02
  8 3.9170E+06 5.0071E+00 2.0000E+02
  9 3.8517E+06 6.2580E+00 2.0000E+02
 10 3.7869E+06 7.8076E+00 2.0000E+02
 11 3.7227E+06 9.7234E+00 2.0000E+02
 12 3.6590E+06 1.2088E+01 2.0000E+02
 13 3.5958E+06 1.5001E+01 2.0000E+02
 14 3.5332E+06 1.8582E+01 2.0000E+02
 15 3.4710E+06 2.2978E+01 2.0000E+02
 16 3.4094E+06 2.8363E+01 2.0000E+02
 17 3.3483E+06 3.4948E+01 2.0000E+02
 18 3.2878E+06 4.2985E+01 2.0000E+02
 19 3.2277E+06 5.2776E+01 2.0000E+02
 20 3.1682E+06 6.4683E+01 2.0000E+02
 21 3.1092E+06 7.9135E+01 2.0000E+02
 22 3.0507E+06 9.6643E+01 2.0000E+02
 23 2.9928E+06 1.1782E+02 2.0000E+02
 24 2.9354E+06 1.4337E+02 2.0000E+02
 25 2.8784E+06 1.7416E+02 2.0000E+02
 26 2.8221E+06 2.1118E+02 2.0000E+02
 27 2.7662E+06 2.5562E+02 2.0000E+02
 28 2.7109E+06 3.0887E+02 2.0000E+02
 29 2.6560E+06 3.7253E+02 2.0000E+02
 30 2.6018E+06 4.4853E+02 2.0000E+02
 31 2.5480E+06 5.3906E+02 2.0000E+02
 32 2.4947E+06 6.4672E+02 2.0000E+02
 33 2.4420E+06 7.7450E+02 2.0000E+02
 34 2.3898E+06 9.2587E+02 2.0000E+02
 35 2.3381E+06 1.1049E+03 2.0000E+02
 36 2.2870E+06 1.3161E+03 2.0000E+02
 37 2.2364E+06 1.5650E+03 2.0000E+02
 38 2.1862E+06 1.8576E+03 2.0000E+02
 39 2.1367E+06 2.2010E+03 2.0000E+02
 40 2.0876E+06 2.6032E+03 2.0000E+02
 41 2.0391E+06 3.0735E+03 2.0000E+02
 42 1.9910E+06 3.6223E+03 2.0000E+02
 43 1.9435E+06 4.2615E+03 2.0000E+02
 44 1.8966E+06 5.0046E+03 2.0000E+02
 45 1.8501E+06 5.8668E+03 2.0000E+02
 46 1.8042E+06 6.8653E+03 2.0000E+02
 47 1.7588E+06 8.0194E+03 2.0000E+02
 48 1.7139E+06 9.3510E+03 2.0000E+02
 49 1.6696E+06 1.0884E+04 2.0000E+02
 50 1.6257E+06 1.2646E+04 2.0000E+02
 51 1.5824E+06 1.4668E+04 2.0000E+02
 52 1.5396E+06 1.6982E+04 2.0000E+02
 53 1.4974E+06 1.9626E+04 2.0000E+02
 54 1.4556E+06 2.2642E+04 2.0000E+02
 55 1.4144E+06 2.6074E+04 2.0000E+02
 56 1.3737E+06 2.9974E+04 2.0000E+02
 57 1.3335E+06 3.4396E+04 2.0000E+02
 58 1.2939E+06 3.9399E+04 2.0000E+02
 59 1.2547E+06 4.5051E+04 2.0000E+02
 60 1.2161E+06 5.1421E+04 2.0000E+02
 61 1.1781E+06 5.8588E+04 2.0000E+02
