 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.872E-03   8.820E-04
  3   1.540E-03   8.665E-04
  4   1.248E-03   8.473E-04
  5   9.959E-04   8.237E-04
  6   7.795E-04   7.952E-04
  7   5.930E-04   7.610E-04
  8   4.339E-04   7.206E-04
  9   3.026E-04   6.737E-04
 10   2.001E-04   6.200E-04
 11   1.258E-04   5.600E-04
 12   7.640E-05   4.947E-04
 13   4.671E-05   4.256E-04
 14   3.083E-05   3.551E-04
 15   2.337E-05   2.859E-04
 16   2.024E-05   2.215E-04
 17   1.892E-05   1.649E-04
 18   1.816E-05   1.185E-04
 19   1.749E-05   8.323E-05
 20   1.679E-05   5.864E-05
 21   1.604E-05   4.305E-05
 22   1.526E-05   3.412E-05
 23   1.450E-05   2.954E-05
 24   1.387E-05   2.751E-05
 25   1.328E-05   2.681E-05
 26   1.274E-05   2.671E-05
 27   1.226E-05   2.687E-05
 28   1.186E-05   2.716E-05
 29   1.153E-05   2.754E-05
 30   1.128E-05   2.799E-05
 31   1.111E-05   2.845E-05
 32   1.100E-05   2.887E-05
 33   1.095E-05   2.918E-05
 34   1.093E-05   2.927E-05
 35   1.093E-05   2.906E-05
 36   1.104E-05   2.859E-05
 37   1.105E-05   2.767E-05
 38   1.095E-05   2.640E-05
 39   1.078E-05   2.495E-05
 40   1.060E-05   2.359E-05
 41   1.049E-05   2.250E-05
 42   1.048E-05   2.169E-05
 43   1.054E-05   2.106E-05
 44   1.060E-05   2.049E-05
 45   1.059E-05   2.001E-05
 46   1.049E-05   1.972E-05
 47   1.030E-05   1.968E-05
 48   1.001E-05   1.986E-05
 49   9.593E-06   2.007E-05
 50   9.007E-06   1.982E-05
 51   8.266E-06   1.941E-05
 52   7.426E-06   1.878E-05
 53   6.595E-06   1.793E-05
 54   5.879E-06   1.695E-05
 55   5.341E-06   1.597E-05
 56   4.976E-06   1.510E-05
 57   4.719E-06   1.439E-05
 58   4.487E-06   1.384E-05
 59   4.214E-06   1.338E-05
 60   3.870E-06   1.293E-05
 61   3.463E-06   1.246E-05
 62   3.025E-06   1.192E-05
 63   2.597E-06   1.127E-05
 64   2.221E-06   1.049E-05
