                  1         2         3         4         5         6         7         8         9
  1.00E-05  2.09E-06  7.08E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  1.25E-05  2.09E-06  7.08E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  1.55E-05  2.09E-06  7.08E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  1.93E-05  2.09E-06  7.08E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  2.40E-05  2.09E-06  7.08E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  2.97E-05  2.09E-06  7.08E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  3.67E-05  2.09E-06  7.07E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  4.54E-05  2.09E-06  7.07E-07  3.25E-06  3.71E-06  2.00E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  5.60E-05  2.09E-06  7.07E-07  3.25E-06  3.71E-06  1.99E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  6.89E-05  2.09E-06  7.07E-07  3.25E-06  3.71E-06  1.99E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  8.46E-05  2.09E-06  7.07E-07  3.25E-06  3.71E-06  1.99E-06  5.89E-06  6.64E-06  6.04E-06  4.07E-07
  1.04E-04  2.09E-06  7.07E-07  3.25E-06  3.71E-06  1.99E-06  5.89E-06  6.63E-06  6.04E-06  4.07E-07
  1.27E-04  2.09E-06  7.06E-07  3.25E-06  3.71E-06  1.99E-06  5.89E-06  6.63E-06  6.04E-06  4.07E-07
  1.55E-04  2.09E-06  7.06E-07  3.25E-06  3.71E-06  1.99E-06  5.89E-06  6.63E-06  6.04E-06  4.07E-07
  1.90E-04  2.08E-06  7.06E-07  3.24E-06  3.71E-06  1.99E-06  5.89E-06  6.63E-06  6.04E-06  4.07E-07
  2.31E-04  2.08E-06  7.05E-07  3.24E-06  3.71E-06  1.99E-06  5.89E-06  6.63E-06  6.04E-06  4.07E-07
  2.81E-04  2.08E-06  7.05E-07  3.24E-06  3.70E-06  1.99E-06  5.88E-06  6.63E-06  6.04E-06  4.07E-07
  3.42E-04  2.08E-06  7.04E-07  3.24E-06  3.70E-06  1.99E-06  5.88E-06  6.63E-06  6.04E-06  4.07E-07
  4.14E-04  2.07E-06  7.03E-07  3.23E-06  3.70E-06  1.99E-06  5.88E-06  6.63E-06  6.04E-06  4.07E-07
  5.02E-04  2.07E-06  7.02E-07  3.23E-06  3.70E-06  1.99E-06  5.88E-06  6.63E-06  6.04E-06  4.07E-07
  6.06E-04  2.06E-06  7.01E-07  3.23E-06  3.69E-06  1.99E-06  5.87E-06  6.62E-06  6.04E-06  4.07E-07
  7.31E-04  2.06E-06  6.99E-07  3.22E-06  3.69E-06  1.98E-06  5.87E-06  6.62E-06  6.03E-06  4.07E-07
  8.81E-04  2.05E-06  6.97E-07  3.21E-06  3.68E-06  1.98E-06  5.87E-06  6.62E-06  6.03E-06  4.07E-07
  1.06E-03  2.04E-06  6.95E-07  3.21E-06  3.68E-06  1.98E-06  5.86E-06  6.61E-06  6.03E-06  4.07E-07
  1.27E-03  2.03E-06  6.93E-07  3.20E-06  3.67E-06  1.98E-06  5.85E-06  6.61E-06  6.03E-06  4.07E-07
